left,top,width,height,conteudo
,,,,
EmissĂŁoem:,,,,
EstoqueProdutos-LocaldeEstoque,02/09/202520:07:13,,,
LOCAL:,MOTORES,,,
,,,,
CĂłdigo,DescriĂ§ĂŁoProduto,Embalagem,UN,ReferĂȘncia
813271,CARCAĂADEMOTORBV/PIVOINFERIOR,UNIDADE,UN,"943,00"
401218,"ABRACUVPRETA400X4,8",UNIDADE,UN,"47,00"
401143,"ABRAĂADEIRAUVPRETA100X2,5MENOR",UNIDADE,UN,"6.061,00"
401121,"ABRAĂADEIRAUVPRETA202X3,7",UNIDADE,UN,"3.753,00"
804462,ACABAMENTODOTUBOINOXPIVĂ/BARREIRAARTICULADA,UNIDADE,UN,"1.065,00"
804287,ACABAMENTOPERFILBARREIRAC/FURO,UNIDADE,UN,"114,00"
804256,ACABAMENTOPERFILBARREIRAS/FURO,UNIDADE,UN,"88,00"
603516,ACESSORIOSPARAAUTOMATIZADORBRUSHLESSDCMOTOR-FONTEDEALIMENTAĂAO24V/10A,UNIDADE,UN,"68,00"
603518,ACESSORIOSPARAAUTOMATIZADORBRUSHLESSDCMOTOR-MOLADECONTRA-PESOPARACANCELA1.2,UNIDADE,UN,"406,00"
603519,ACESSORIOSPARAAUTOMATIZADORBRUSHLESSDCMOTOR-MOLADECONTRA-PESOPARACANCELA2.5,UNIDADE,UN,"264,00"
603515,ACESSORIOSPARAAUTOMATIZADORBRUSHLESSDCMOTOR-PAINELCONTROLADOR,UNIDADE,UN,"41,00"
603517,ACESSORIOSPARAAUTOMATIZADORBRUSHLESSDCMOTOR-RECEPTORPARACENTRALBRUSHLESS,UNIDADE,UN,"102,00"
813483,ACIONADORDAMICROCHAVEBVCADENA,UNIDADE,UN,"1.934,00"
2008507,"ACIONAMENTOMOVIMENTADORTRINOBVSPEED1,5M",UNIDADE,UN,AGLMOTORES
2008509,"ACIONAMENTOMOVIMENTADORTRINOBVSPEED2,5M",UNIDADE,UN,AGLMOTORES
2008501,"ACIONAMENTOMOVIMENTADORTRINOBV1,5M",UNIDADE,UN,AGLMOTORES
2013503,"ACIONAMENTOMOVIMENTADORTRINODESLIZANTEHORIZONTAL3,0M",UNIDADE,UN,AGLMOTORES
2013504,"ACIONAMENTOMOVIMENTADORTRINODESLIZANTEHORIZONTAL3,5M",UNIDADE,UN,AGLMOTORES
2008560,"ACIONAMENTOMOVIMENTADORTRINONEWBV1,4MEX",UNIDADE,UN,AGLMOTORES
2008527,"ACIONAMENTOMOVIMENTADORTRINONEWBV1,5M",UNIDADE,UN,AGLMOTORES
2008534,"ACIONAMENTOMOVIMENTADORTRINONEWBV1,5MFUSOĂ5/8P/NEWBVTURBO",UNIDADE,UN,AGLMOTORES
2008539,"ACIONAMENTOMOVIMENTADORTRINONEWBV3,0MFUSOĂ5/8P/BVTURBO",UNIDADE,UN,AGLMOTORES
202074,AĂOREDLAMINADOĂ9/166M1015/1022,QUILOGRAMA,KG,AGLMOTORES
202017,AĂOREDTREFDIN11SMnPb3014.00NBR8647,QUILOGRAMA,KG,AGLMOTORES
202045,AĂOREDTREFSAE102012.00,QUILOGRAMA,KG,AGLMOTORES
202034,AĂOREDTREFSAE102014.29SAEJ403,QUILOGRAMA,KG,AGLMOTORES
202062,AĂOREDTREFSAE10205.00SAE,QUILOGRAMA,KG,AGLMOTORES
813053,ACOPLAMENTODOACIONAMENTOBV,UNIDADE,UN,"3.093,41"
813262,ACOPLAMENTODONEWBV/BV/PIVO,UNIDADE,UN,"2.218,00"
813245,ALAVANCADESTRAVAMENTODZINDUSTRIAL,UNIDADE,UN,"56,00"
813009,ALAVANCAPARADESTRAVAMENTOMANUAL,UNIDADE,UN,"5.522,00"
804188,ALĂADOCONTROLEREMOTOINTER.DIGI.DIGITALKEYBRANCO,UNIDADE,UN,"14.284,00"
804177,ALĂADOCONTROLEREMOTOINTER.DIGI.DIGITALKEYPRETO,UNIDADE,UN,"3.252,00"
103511,"ALOJAM.LUVAPARATERMINALFASTONFĂȘMEA6,3MMRETONATURAL",CT,CT,AGLELETRONICOS
402034,"ANELDERETENĂĂOORINGINTERNO14MMX2,6MM",UNIDADE,UN,"13.974,00"
402032,"ANELDERETENĂĂOORING4,47X1,78MM",UNIDADE,UN,"41.291,00"
PĂĄgina,1,/,21,
,,,,
EmissĂŁoem:,,,,
EstoqueProdutos-LocaldeEstoque,02/09/202520:07:13,,,
LOCAL:,MOTORES,,,
,,,,
CĂłdigo,DescriĂ§ĂŁoProduto,Embalagem,UN,ReferĂȘncia
402015,ANELELASTICOE12,UNIDADE,UN,"55.807,00"
402016,ANELELASTICOE17,UNIDADE,UN,"18.495,00"
402012,ANELELĂSTICOE-20,UNIDADE,UN,"13.714,00"
402023,ANELELĂSTICOE-25X12,UNIDADE,UN,"3.344,00"
208006,ANELENCODER-ROUNDMAGNET,UNIDADE,UN,"3.226,00"
402033,"ANELORING8X2,00MM",UNIDADE,UN,"750,00"
801132,"ARGOLADACHAVE1,00X20,0EXTERNO1.1/2VOLTASZINCADO",UNIDADE,UN,"29.809,00"
813318,ARRUELAEMT,UNIDADE,UN,"7.255,00"
401031,ARRUELALISAM6ZI,UNIDADE,UN,"187.982,00"
401032,ARRUELALISAM8ZI,UNIDADE,UN,"162,00"
401234,ARRUELALISAPO5/16,UNIDADE,UN,"641,00"
401068,ARRUELALISA1/4FEZI,UNIDADE,UN,"74.294,00"
813173,"ARRUELA1,2MMEIXODESLIZANTE",UNIDADE,UN,"36.050,00"
801225,ARTICULAĂĂODOTUBOZINCADO-BARREIRAARTICULADACANCELA,UNIDADE,UN,"90,00"
801227,ARTICULAĂĂOPRIMĂRIAZINCADA-BARREIRAARTICULADACANCELA,UNIDADE,UN,"6,00"
801226,ARTICULAĂĂOSECUNDĂRIAZINCADA-BARREIRAARTICULADACANCELA,UNIDADE,UN,"7,00"
916126,AUTOMATIZADORPARACANCELA-BRUSHLESSDCMOTOR-MODELO:18B-1.2S,UNIDADE,UN,"62,00"
916127,AUTOMATIZADORPARACANCELA-BRUSHLESSDCMOTOR-MODELO:18B-2.5S,UNIDADE,UN,"15,00"
603023,AUTOMATIZADORPARAPORTASAC1500220V,UNIDADE,UN,"20,00"
401187,BARRAROSCADAFERROMETM14X1000MMZI,METRO,MT,"51,00"
1015535,"BARREIRAARTICULADACANCELAAGUSTABRUSHLESSAGLDCSEMLED-3,5m",UNIDADE,UN,AGLELETRONICOS
1015528,"BARREIRACANCELAAGUSTABRUSHLESSSEMLOGODCCOMLED-3,5m",UNIDADE,UN,AGLELETRONICOS
1015529,"BARREIRACANCELAAGUSTABRUSHLESSSEMLOGODCCOMLED-5,5m",UNIDADE,UN,AGLELETRONICOS
1015558,"BARREIRACANCELAAGUSTABRUSHLESSSEMLOGODCCOMLED-6,0m",UNIDADE,UN,AGLELETRONICOS
2010126,BASEBAIXADESLIZANTEEMALUMĂNIO,UNIDADE,UN,AGLMOTORES
813038,BASECENTRALDOBV,UNIDADE,UN,"1.567,00"
813257,BASECENTRALNEWBV,UNIDADE,UN,"466,00"
804247,BASEDACENTRALDESLIZANTE,UNIDADE,UN,"831,00"
813152,BASEDACENTRALDESLIZANTEINVERTER,UNIDADE,UN,"1.217,00"
813171,BASEDACENTRALPIVODUPLO,UNIDADE,UN,"19,00"
813547,BASEDACHAPADEFIXAĂĂODAPIVOROBĂ-ZINCADO,UNIDADE,UN,"2,00"
813241,BASEDEALUMĂNIOINFERIORMOTORDZINDUSTRIAL,UNIDADE,UN,"2,00"
813199,BASEDEALUMĂNIOMOTORESDESLIZANTES,UNIDADE,UN,"2.148,00"
2010447,BASEDECHĂOREGULĂVELPARAMOTORDZUNIVERSAL,UNIDADE,UN,AGLMOTORES
804326,BASEDEPROTEĂĂODACENTRALNEWPIVO,UNIDADE,UN,"385,00"
813485,BASEDESUPORTEDOMOTORREDUTORBVCADENA-CINZA,UNIDADE,UN,"52,00"
PĂĄgina,2,/,21,
,,,,
EmissĂŁoem:,,,,
EstoqueProdutos-LocaldeEstoque,02/09/202520:07:13,,,
LOCAL:,MOTORES,,,
,,,,
CĂłdigo,DescriĂ§ĂŁoProduto,Embalagem,UN,ReferĂȘncia
804166,BASEINFERIORDOCONTROLEREMOTOINTER.DIGI.DIGITALKEY-BRANCO,UNIDADE,UN,"10.820,00"
804165,BASEINFERIORDOCONTROLEREMOTOINTER.DIGI.DIGITALKEY-PRETO,UNIDADE,UN,"7.795,00"
813151,BASEINFERIORNYLONMOTORESDESLIZANTES,UNIDADE,UN,"346,00"
804542,BASEINFERIORPPMOTORESDESLIZANTES,UNIDADE,UN,"1.121,00"
804142,BASESUPERIORCOMLOGODOCONTROLEREMOTOINTER.DIGI.DIGITALKEY-BRANCO,UNIDADE,UN,"5.788,00"
804123,BASESUPERIORCOMLOGODOCONTROLEREMOTOINTER.DIGI.DIGITALKEY-PRETO,UNIDADE,UN,"2.546,00"
801271,BASESUPERIORDEFIXAĂĂODACENTRALNOGABINETE-BRANCA,UNIDADE,UN,"3,00"
801249,BASESUPERIORDEFIXAĂĂODACENTRALNOGABINETE-CINZA,UNIDADE,UN,"43,00"
804246,BASESUPERIORNYLONDOMOTORDESLIZANTE,UNIDADE,UN,"2.175,00"
804261,BASESUPERIORNYLONDOMOTORDESLIZANTEC/ENCODER,UNIDADE,UN,"745,00"
804540,BASESUPERIORPPDOMOTORDESLIZANTE,UNIDADE,UN,"1.388,00"
804541,BASESUPERIORPPDOMOTORDESLIZANTEC/ENCODER,UNIDADE,UN,"25,00"
804310,BASESUPERIORSEMLOGODOCONTROLEREMOTOINTER.DIGI.DIGITALKEY-BRANCO,UNIDADE,UN,"2.437,00"
804259,BASESUPERIORSEMLOGODOCONTROLEREMOTOINTER.DIGI.DIGITALKEY-PRETO,UNIDADE,UN,"29.490,00"
813481,BATENTEMECĂNICOBVCADENA-ZINCADA,UNIDADE,UN,"8,00"
101819,BATERIADELITHIUMCR2032210mAH3VTRAY(CR2032),UN,UN,AGLELETRONICOS
2010417,BOBINADEFREIOPARAMOTORPORTADEENROLARAC200aAC600,UNIDADE,UN,AGLMOTORES
105064,"BOBINALAMINADA2,00MMPRETO23",METRO,MT,AGLELETRONICOS
102573,"BOBINATUBULARPEBDLEITOSAIMPRESAP/ACIONAMENTODEMOTORESAGL(15X0,45)",QUILOGRAMA,KG,"163,39"
102574,"BOBINATUBULARPEBDLEITOSALISAP/ACIONAMENTODEMOTORES(15X0,45)",QUILOGRAMA,KG,"26,36"
804118,BORRACHAPASSANTE,UNIDADE,UN,"2.364,00"
813292,BRACINHOARTICULADOBVENEWBV,UNIDADE,UN,"771,00"
813290,BRACINHOARTICULADODZHORIZONTAL,UNIDADE,UN,"1.028,00"
813440,BRAĂOESTICADORDAMOLADACANCELA,UNIDADE,UN,"123,00"
813172,BUCHADEAPOIODOEIXONOSUPORTEORELHA,UNIDADE,UN,"0,41"
813410,BUCHADECENTRAGEMDOEIXODOROTORDZ,UNIDADE,UN,"950,00"
813043,BUCHADECENTRAGEMDOSEMFIMDOBV/PIVO,UNIDADE,UN,"15.972,00"
813235,BUCHADOEIXODESLIZANTESEXTAVADA,UNIDADE,UN,"14.321,00"
813006,BUCHADOMANCALINFERIOR,UNIDADE,UN,"18.931,41"
801228,BUCHAESTICADORZINCADA-BARREIRAARTICULADACANCELA,UNIDADE,UN,"30,00"
804550,BUCHAPARAROLAMENTOMOTORESDESLIZANTES/TANQUINHOS,UNIDADE,UN,"1.641,00"
402036,BUCHAPLASTICAN06,UNIDADE,UN,"778,00"
402028,BUCHAPLASTICAN10,UNIDADE,UN,"38.070,00"
103132,CABOCONECTORTERMINALWHITEWIREBLK-PH-3PL1000BOX(BLK-PH-3PL1000),UNIDADE,UN,AGLELETRONICOS
103130,CABOCONECTORTERMINALWHITEWIREBLK-PH-3PL180BOX(BLK-PH-3PL180),UNIDADE,UN,AGLELETRONICOS
103131,CABOCONECTORTERMINALWHITEWIREBLK-PH-3PL500BOX(BLK-PH-3PL500),UNIDADE,UN,AGLELETRONICOS
PĂĄgina,3,/,21,
,,,,
EmissĂŁoem:,,,,
EstoqueProdutos-LocaldeEstoque,02/09/202520:07:13,,,
LOCAL:,MOTORES,,,
,,,,
CĂłdigo,DescriĂ§ĂŁoProduto,Embalagem,UN,ReferĂȘncia
103141,CABOCONECTORTERMINALWHITEWIREBLK-PH-4PL350WITHL15RED/BLACKBOX(BLK-PH-4PL315WITHL15),UNIDADE,UN,AGLELETRONICOS
103153,CABOCONECTORTERMINALWHITEWIREBLK-4P1050/650BOX(BLK-4P1050/650),UNIDADE,UN,AGLELETRONICOS
103154,CABOCONECTORTERMINALWHITEWIREBLK-4P1300/650BOX(BLK-4P1300/650),UNIDADE,UN,AGLELETRONICOS
103144,CABOCONECTORTERMINALWHITEWIREBLK-4P1800/650BOX(BLK-4P1800/650),UNIDADE,UN,AGLELETRONICOS
103145,CABOCONECTORTERMINALWHITEWIREBLK-4P2300/650BOX(BLK-4P2300/650),UNIDADE,UN,AGLELETRONICOS
103146,CABOCONECTORTERMINALWHITEWIREBLK-4P2800/650BOX(BLK-4P2800/650),UNIDADE,UN,AGLELETRONICOS
103147,CABOCONECTORTERMINALWHITEWIREBLK-4P3300/650BOX(BLK-4P3300/650),UNIDADE,UN,AGLELETRONICOS
103148,CABOCONECTORTERMINALWHITEWIREBLK-4P3800/650BOX(BLK-4P3800/650),UNIDADE,UN,AGLELETRONICOS
103149,CABOCONECTORTERMINALWHITEWIREBLK-4P4300/650BOX(BLK-4P4300/650),UNIDADE,UN,AGLELETRONICOS
103150,CABOCONECTORTERMINALWHITEWIREBLK-4P4800/650BOX(BLK-4P4800/650),UNIDADE,UN,AGLELETRONICOS
103151,CABOCONECTORTERMINALWHITEWIREBLK-4P5300/650BOX(BLK-4P5300/650),UNIDADE,UN,AGLELETRONICOS
103160,CABOCONECTORTERMINALWHITEWIREBLK-4P6300/650BOX(BLK-4P6300/650),UNIDADE,UN,AGLELETRONICOS
103159,CABOCONECTORTERMINALWHITEWIREBLK-4P800/450BOX(BLK-4P800/450),UNIDADE,UN,AGLELETRONICOS
103547,"CABOPP3X0,30MMVM/VD/PT",METRO,MT,AGLELETRONICOS
811771,CAIXADOMOTORINDUSTRIAL(STRONG2000),UNIDADE,UN,"109,00"
811756,CAIXAMASTER1-CAIXAPIVĂVIOLĂOC/IMPRESSĂO50X75,UNIDADE,UN,"423,00"
811845,CAIXAMASTER1-CAIXAPIVĂVIOLĂOC/IMPRESSĂO50X75(ARTETECLAM),UNIDADE,UN,"179,00"
811826,CAIXAMASTER1-CAIXAPIVĂVIOLĂODOORLINEC/IMPRESSĂO50X75,UNIDADE,UN,"1.260,00"
811742,CAIXAMASTER11-CAIXAPARACANCELACOMLOGOAGL,UNIDADE,UN,"1.082,00"
811753,CAIXAMASTER11-CAIXAPARACANCELASEMLOGO,UNIDADE,UN,"471,00"
811802,CAIXAMASTER12-CXDACENTRALPIVĂ,UNIDADE,UN,"2.725,00"
811827,CAIXAMASTER2-CAIXAPIVĂVIOLĂODOORLINE1METROCOMIMPRESSĂO,UNIDADE,UN,"210,00"
811763,CAIXAMASTER2-CAIXAPIVĂVIOLĂO1METROCOMIMPRESSĂO,UNIDADE,UN,"434,00"
811803,"CAIXAMASTER3-CAIXAPIVĂVIOLĂO1,5METROSCOMIMPRESSĂO",UNIDADE,UN,"451,00"
811801,CAIXAMASTER7-CALĂOCABEĂADOMOTORPIVĂ,UNIDADE,UN,"2.971,00"
811768,"CAIXAMASTER9-CAIXADOBRAĂOBAS.1,5METROSCOMIMPRESSĂO",UNIDADE,UN,"0,33"
811729,"CAIXAMOTORBASCULANTEAGL18,9X14,1X23,4",UNIDADE,UN,"8.376,00"
811775,"CAIXAMOTORBASCULANTENOVA23,0X16,0X24,5",UNIDADE,UN,"17.325,00"
811733,"CAIXAMOTORBBS24,0X19,5X24,5",UNIDADE,UN,"7.440,00"
811851,"CAIXAMOTORBVCADENA25,6X21,6X32,5",UNIDADE,UN,"448,00"
811746,"CAIXAMOTORKRIPT24,0X19,5X24,5",UNIDADE,UN,"1.324,00"
811744,"CAIXAMOTORLINHATRINOAGL24,0X19,5X24,5",UNIDADE,UN,"15.486,00"
811846,"CAIXAMOTORLINHATRINOAGL24,0X19,5X24,5(ARTETECLAM)",UNIDADE,UN,"850,00"
811915,CAIXAMOTORPIVODUPLOS/ACIONAMENTO,UNIDADE,UN,"1.320,00"
811916,CAIXAMOTORPIVOSIMPLESS/ACIONAMENTO,UNIDADE,UN,"1.579,00"
811913,CAIXAMOTORTRINOLOG(CREMALHEIRAEMBARCADA),UNIDADE,UN,"4.750,00"
PĂĄgina,4,/,21,
,,,,
EmissĂŁoem:,,,,
EstoqueProdutos-LocaldeEstoque,02/09/202520:07:13,,,
LOCAL:,MOTORES,,,
,,,,
CĂłdigo,DescriĂ§ĂŁoProduto,Embalagem,UN,ReferĂȘncia
811760,"CAIXAPARACONTROLEREMOTOAGL4,0X6,20X1,6",UNIDADE,UN,"19.339,00"
811828,"CAIXAPARACONTROLEREMOTOSEMLOGO4,0X6,20X1,6",UNIDADE,UN,"12.490,00"
813260,CALĂODOESTATORNEWBV,UNIDADE,UN,"3.721,02"
813515,CALĂODOESTATORP28BV/PIVO,UNIDADE,UN,"1.456,00"
811809,CALĂOVINCADOBRAĂOMOTOR,UNIDADE,UN,"5.219,00"
1015031,"CANCELAAGUSTALIGHTAC220VATĂ4,5MCINZA",UNIDADE,UN,AGLELETRONICOS
1015026,"CANCELAi10BRUSHLESSP/BARREIRAINOVECERTODC2,5S-4,5Ma6MCINZA",UNIDADE,UN,AGLELETRONICOS
813375,CANTONEIRACREMALHEIRAMOTORINDUSTRIAL,UNIDADE,UN,"171,00"
813283,CANTONEIRASUPORTEFIX.BVENEWBV-ZINCADA,UNIDADE,UN,"1,00"
804430,CAPADOROLAMENTODOSMOTORES,UNIDADE,UN,"6.214,00"
101889,CAPACITORFIXOC/DIELETRICODEPOLIPROPILENOBIORIENTADOP/MOTORESCMLWCANECAPLASTICA12uf250V,UNIDADE,UN,AGLELETRONICOS
101890,CAPACITORFIXOC/DIELETRICODEPOLIPROPILENOBIORIENTADOP/MOTORESCMLWCANECAPLASTICA25uf250V,UNIDADE,UN,AGLELETRONICOS
101306,CAPACITORFIXOC/DIELETRICODEPOLIPROPILENOBIORIENTADOP/MOTORESCMRWCANECAPLASTICA15uf250V50,UNIDADE,UN,AGLELETRONICOS
101307,CAPACITORFIXOC/DIELETRICODEPOLIPROPILENOBIORIENTADOP/MOTORESCMRWCANECAPLASTICA20uf250V50,UNIDADE,UN,AGLELETRONICOS
101309,CAPACITORFIXOC/DIELETRICODEPOLIPROPILENOBIORIENTADOP/MOTORESCMRWCANECAPLASTICA30uf250V50,UNIDADE,UN,AGLELETRONICOS
101310,CAPACITORFIXOC/DIELETRICODEPOLIPROPILENOBIORIENTADOP/MOTORESCMRWCANECAPLASTICA40uf250V50,UNIDADE,UN,AGLELETRONICOS
101311,CAPACITORFIXOC/DIELETRICODEPOLIPROPILENOBIORIENTADOP/MOTORESCMRWCANECAPLASTICA50uf250V50,UNIDADE,UN,AGLELETRONICOS
813270,CARCAĂADEMOTORBV/PIVOSUPERIOR,UNIDADE,UN,"410,00"
813489,CARCAĂAFRONTALBVCADENA-CINZA,UNIDADE,UN,"62,00"
813259,CARCAĂAINFERIORNEWBVCOMFUROENCODER,UNIDADE,UN,"313,00"
813258,CARCAĂAINFERIORNEWBVSEMFUROENCODER,UNIDADE,UN,"572,00"
813265,CARCAĂASUPERIORNEWBV,UNIDADE,UN,"674,00"
813486,CARCAĂATRASEIRABVCADENA-CINZA,UNIDADE,UN,"53,00"
804554,CARTUCHODAPORCADE5ENTRADAS,UNIDADE,UN,"790,00"
813540,CARTUCHODAPORCADE6ENTRADASP.601/2,UNIDADE,UN,"1.295,00"
813518,CARTUCHODAPORCA6ENTRADASP.605/8'',UNIDADE,UN,"525,00"
813507,CASEDEPROTEĂĂODOMĂDULOWIFIIZZY,UNIDADE,UN,"2.596,00"
2010080,CENTRALPARAMOTORDEENROLARIZZYAGL,UNIDADE,UN,AGLMOTORES
813240,CHAPADEAPOIODAMOLADEFREIODODESLIZANTE,UNIDADE,UN,"2.008,00"
813548,CHAPADEFIXAĂĂODAPIVOROBĂ-ZINCADO,UNIDADE,UN,"2,00"
813479,CHAPADETRAĂĂODACORRENTEBVCADENA-ZINCADA,UNIDADE,UN,"10,00"
801266,CHAPAEMUDOSUPORTEDABARREIRA(MODELOFIX.MACHOEFĂMEA)-BRANCA,UNIDADE,UN,"3,00"
801265,CHAPAEMUDOSUPORTEDABARREIRA(MODELOFIX.MACHOEFĂMEA)-CINZA,UNIDADE,UN,"33,00"
813492,CHAPAESTABILIZADORATRASEIRABVCADENA-ZINCADA,UNIDADE,UN,"91,00"
813250,CHAVECILINDROMOTORDESLIZANTENYLON(MODELONOVO),UNIDADE,UN,"25.707,00"
813311,CHAVEPIVO,UNIDADE,UN,"7.798,00"
PĂĄgina,5,/,21,
,,,,
EmissĂŁoem:,,,,
EstoqueProdutos-LocaldeEstoque,02/09/202520:07:14,,,
LOCAL:,MOTORES,,,
,,,,
CĂłdigo,DescriĂ§ĂŁoProduto,Embalagem,UN,ReferĂȘncia
813328,CHAVETADOMOTORINDUSTRIAL,UNIDADE,UN,"138,00"
813522,"CHAVETAQUADRADA8MMX33,4MM",UNIDADE,UN,"2.071,00"
813456,CHAVETA6MMX30MMPIVO,UNIDADE,UN,"1.245,00"
813234,"CHAVETA8MMX33,4MM",UNIDADE,UN,"2.345,00"
402024,CHUMBADORCBJC/PRISIONEIRO3/8X110MMZI,UNIDADE,UN,"1.138,00"
402042,CHUMBADORPBJPARABOLTMQUNC3/8X3ZI,UNIDADE,UN,"276,00"
402041,CHUMBADORPBJPARABOLTMQUNC3/8X5ZI,UNIDADE,UN,AGLELETRONICOS
813310,CILINDROCHAVEPIVO,UNIDADE,UN,"3.088,00"
813249,CILINDROMOTORDESLIZANTENYLON,UNIDADE,UN,"3.415,00"
412047,CJESTATORROTORAGLBASCP201/6cv0442z127V60Hz,UNIDADE,UN,"936,00"
412046,CJESTATORROTORAGLBASCP201/6cv0442z220V60Hz,UNIDADE,UN,"281,00"
412367,CJESTATORROTORAGLBASCP281/5cv0442127V60Hz,UNIDADE,UN,"83,00"
412072,CJESTATORROTORAGLBASCP281/5cv0442220V60Hz(CW14404433),UNIDADE,UN,"408,00"
412017,CJESTATORROTORAGLDESLP201/6cv0442z127V60Hz,UNIDADE,UN,"354,00"
412369,CJESTATORROTORAGLDESLP242P127V60HZ,UNIDADE,UN,"62,00"
412368,CJESTATORROTORAGLDESLP242P220V60HZ,UNIDADE,UN,"62,00"
412009,CJESTATORROTORAGLDESLP351/3cv0442Z127V60Hz,UNIDADE,UN,"965,00"
412010,CJESTATORROTORAGLDESLP351/3cv0442Z220V60HZ,UNIDADE,UN,"1.047,00"
412370,CJESTATORROTORAGLDESLP392P220V60HZ,UNIDADE,UN,"129,00"
102560,CONECTORELĂTRICODETORĂĂOMODELOP-1,UNIDADE,UN,"699,00"
103064,CONECTORFĂMEAEC202V-5.08-3PGREENBAG/BULK(EC601V-5.08-3P),UNIDADE,UN,AGLELETRONICOS
2001261,CONJ.MOVIMENTADORDZBRABUSSPEED300B.ALUMINIUM220V50-60HZ,UNIDADE,UN,AGLMOTORES
2006055,CONJ.MOVIMENTADORINTELIGENTE-IZZY500127V50-60HZSEMCREMALHEIRA,UNIDADE,UN,AGLMOTORES
2006063,CONJ.MOVIMENTADORINTELIGENTE-IZZY900220V50-60HZSEMCREMALHEIRA,UNIDADE,UN,AGLMOTORES
2008039,CONJ.MOVIMENTADORNEWBVSPEEDTURBOPRO1/2HPFREQUENCYINVERTERBIVOLTSEMACIONAMENTO,UNIDADE,UN,AGLMOTORES
2008047,CONJ.MOVIMENTADORNEWBVSPEEDTURBOPRO1/2HPFREQUENCYINVERTERBIVOLTSEMACIONAMENTOEX,UNIDADE,UN,AGLMOTORES
2005049,CONJ.MOVIMENTADORP/PORTADEENROLARAC1500-220VTRIFASICOSEMTESTEIRA,UNIDADE,UN,AGLMOTORES
2005037,CONJ.MOVIMENTADORP/PORTADEENROLARAC300-220VSEMTESTEIRA,UNIDADE,UN,AGLMOTORES
2005038,CONJ.MOVIMENTADORP/PORTADEENROLARAC400-220VSEMTESTEIRA,UNIDADE,UN,AGLMOTORES
2008001,CONJ.MOVIMENTADORTRINOBV3127VSEMACIONAMENTO,UNIDADE,UN,AGLMOTORES
2008022,CONJ.MOVIMENTADORTRINOBV4220VSEMACIONAMENTOEX,UNIDADE,UN,AGLMOTORES
2001185,CONJ.MOVIMENTADORTRINO500SPEED220V50-60HZSEMCREMALHEIRACOMB.ALUMINIU,UNIDADE,UN,AGLMOTORES
2001223,CONJ.MOVIMENTADORTRINO900220V50-60HZCOMB.ALUMINIUMC/CREMALHEIRA3MTEX,UNIDADE,UN,AGLMOTORES
2010526,CONJUNTODEFREIOMECĂNICOPARAMOTORNEWBVSPEED/PIVOTANTEAGLEX,UNIDADE,UN,AGLMOTORES
512028,CONJUNTOESTATOREROTORAGLDESLP241/4CV4P3F110V60HZ,UNIDADE,UN,"186,00"
512001,CONJUNTOESTATOREROTORAGLDESLP171/7cv0442Z127V60HZ,UNIDADE,UN,"1.732,00"
PĂĄgina,6,/,21,
,,,,
EmissĂŁoem:,,,,
EstoqueProdutos-LocaldeEstoque,02/09/202520:07:14,,,
LOCAL:,MOTORES,,,
,,,,
CĂłdigo,DescriĂ§ĂŁoProduto,Embalagem,UN,ReferĂȘncia
512003,CONJUNTOESTATOREROTORAGLDESLP171/7cv0442Z220V50HZ,UNIDADE,UN,"587,00"
512002,CONJUNTOESTATOREROTORAGLDESLP171/7cv0442Z220V60HZ,UNIDADE,UN,"3.193,00"
512015,CONJUNTOESTATOREROTORAGLDESLP171-7cv0442Z3F127V60HZ,UNIDADE,UN,"8,00"
512017,CONJUNTOESTATOREROTORAGLDESLP222P220V60HZ,UNIDADE,UN,"301,00"
512019,CONJUNTOESTATOREROTORAGLDESLP242P127V60HZ,UNIDADE,UN,"20,00"
