"Column1","Column2","Column3","Column4","Column5"
"701236","BASE DE SUPORTE DO MOTORREDUTOR BV CADENA - BRUTO","201021","CHAPA AÇO SAE1006 - 2,25 X 1200 X 2000MM","0,69"
"701237","CARCAÇA TRASEIRA BV CADENA - BRUTO","201016","CHAPA AÇO SAE1006 - 1,5 X 1200","1,383"
"701238","TAMPA INFERIOR BV CADENA - BRUTO","201016","CHAPA AÇO SAE1006 - 1,5 X 1200","0,346"
"701239","TAMPA SUPERIOR BV CADENA - BRUTO","201016","CHAPA AÇO SAE1006 - 1,5 X 1200","0,489"
"701240","CARCAÇA FRONTAL BV CADENA - BRUTO","201016","CHAPA AÇO SAE1006 - 1,5 X 1200","0,817"
"701241","SUPORTE DO MICRO SWICH BV CADENA - BRUTO","201021","CHAPA AÇO SAE1006 - 2,25 X 1200 X 2000MM","0,038"
"701242","MANCAL DE ENCAIXE DO ACIONAMENTO BV CADENA - BRUTO","201021","CHAPA AÇO SAE1006 - 2,25 X 1200 X 2000MM","0,237"
"701243","EIXO PRINCIPAL BV CADENA","205016","TUBO EM AÇO COM DIÂMETRO DE 20MM DE AÇO COMUM - SIZE OD*ID (MM) - 20.5*13 ASTM A106 GR.B","0,2810580204778157"
"701244","CHAPA ESTABILIZADORA TRASEIRA BV CADENA - BRUTO","201021","CHAPA AÇO SAE1006 - 2,25 X 1200 X 2000MM","0,141"
"701256","COROA Z11 PARA BV CADENA (P/ CORRENTE ASA 410) - BRUTO","201121","CHAPA AÇO P012K SAE1012/A36 - 4,75 X 1200 X 2000MM","0,042"
"813485","BASE DE SUPORTE DO MOTORREDUTOR BV CADENA - CINZA","701236","BASE DE SUPORTE DO MOTORREDUTOR BV CADENA - BRUTO","1"
"813485","BASE DE SUPORTE DO MOTORREDUTOR BV CADENA - CINZA","510022","TINTA CINZA GRAFITE POLIESTER TEXTURIZADO C-3920","0,01"
"813486","CARCAÇA TRASEIRA BV CADENA - CINZA","701237","CARCAÇA TRASEIRA BV CADENA - BRUTO","1"
"813486","CARCAÇA TRASEIRA BV CADENA - CINZA","510022","TINTA CINZA GRAFITE POLIESTER TEXTURIZADO C-3920","0,012"
"813487","TAMPA INFERIOR BV CADENA - CINZA","701238","TAMPA INFERIOR BV CADENA - BRUTO","1"
"813487","TAMPA INFERIOR BV CADENA - CINZA","510022","TINTA CINZA GRAFITE POLIESTER TEXTURIZADO C-3920","0,005"
"813488","TAMPA SUPERIOR BV CADENA - CINZA","701239","TAMPA SUPERIOR BV CADENA - BRUTO","1"
"813488","TAMPA SUPERIOR BV CADENA - CINZA","510022","TINTA CINZA GRAFITE POLIESTER TEXTURIZADO C-3920","0,006"
"813489","CARCAÇA FRONTAL BV CADENA - CINZA","701240","CARCAÇA FRONTAL BV CADENA - BRUTO","1"
"813489","CARCAÇA FRONTAL BV CADENA - CINZA","510022","TINTA CINZA GRAFITE POLIESTER TEXTURIZADO C-3920","0,006"
"813490","SUPORTE DO MICRO SWICH BV CADENA - ZINCADO","701241","SUPORTE DO MICRO SWICH BV CADENA - BRUTO","1"
"813491","MANCAL DE ENCAIXE DO ACIONAMENTO BV CADENA - ZINCADO","701242","MANCAL DE ENCAIXE DO ACIONAMENTO BV CADENA - BRUTO","1"
"813492","CHAPA ESTABILIZADORA TRASEIRA BV CADENA - ZINCADA","701244","CHAPA ESTABILIZADORA TRASEIRA BV CADENA - BRUTO","1"
"813526","COROA Z11 PARA BV CADENA (P/ CORRENTE ASA 410) - ZINCADA","701256","COROA Z11 PARA BV CADENA (P/ CORRENTE ASA 410) - BRUTO","1"
"2008082","CONJ. MOVIMENTADOR TRINO NEW BV CADENA 1/4HP 127V SEM ACIONAMENTO","401228","PARAFUSO ALLEN RI M3 X 16 ZI","4"
"2008082","CONJ. MOVIMENTADOR TRINO NEW BV CADENA 1/4HP 127V SEM ACIONAMENTO","401160","PARAFUSO MQ HXL M5 X 16MM RI T25 ZBR","31"
"2008082","CONJ. MOVIMENTADOR TRINO NEW BV CADENA 1/4HP 127V SEM ACIONAMENTO","813485","BASE DE SUPORTE DO MOTORREDUTOR BV CADENA - CINZA","1"
"2008082","CONJ. MOVIMENTADOR TRINO NEW BV CADENA 1/4HP 127V SEM ACIONAMENTO","813486","CARCAÇA TRASEIRA BV CADENA - CINZA","1"
"2008082","CONJ. MOVIMENTADOR TRINO NEW BV CADENA 1/4HP 127V SEM ACIONAMENTO","813487","TAMPA INFERIOR BV CADENA - CINZA","1"
"2008082","CONJ. MOVIMENTADOR TRINO NEW BV CADENA 1/4HP 127V SEM ACIONAMENTO","813488","TAMPA SUPERIOR BV CADENA - CINZA","1"
"2008082","CONJ. MOVIMENTADOR TRINO NEW BV CADENA 1/4HP 127V SEM ACIONAMENTO","401173","REBITE C/ROSCA SEXT. M5 CAB. PLANA ZB","26"
"2008082","CONJ. MOVIMENTADOR TRINO NEW BV CADENA 1/4HP 127V SEM ACIONAMENTO","813489","CARCAÇA FRONTAL BV CADENA - CINZA","1"
"2008082","CONJ. MOVIMENTADOR TRINO NEW BV CADENA 1/4HP 127V SEM ACIONAMENTO","813152","BASE DA CENTRAL DESLIZANTE INVERTER","1"
"2008082","CONJ. MOVIMENTADOR TRINO NEW BV CADENA 1/4HP 127V SEM ACIONAMENTO","804426","TAMPA DA CENTRAL DESLIZANTE INVERTER","1"
"2008082","CONJ. MOVIMENTADOR TRINO NEW BV CADENA 1/4HP 127V SEM ACIONAMENTO","813039","VENEZIANA DOS MOTORES","2"
"2008082","CONJ. MOVIMENTADOR TRINO NEW BV CADENA 1/4HP 127V SEM ACIONAMENTO","401044","PARAFUSO A/A PAN PHS 2.9 X 9.5","8"
"2008082","CONJ. MOVIMENTADOR TRINO NEW BV CADENA 1/4HP 127V SEM ACIONAMENTO","402012","ANEL ELÁSTICO E-20","3"
"2008082","CONJ. MOVIMENTADOR TRINO NEW BV CADENA 1/4HP 127V SEM ACIONAMENTO","813234","CHAVETA 8MMX33,4MM","1"
"2008082","CONJ. MOVIMENTADOR TRINO NEW BV CADENA 1/4HP 127V SEM ACIONAMENTO","813094","ENGRENAGEM INTERNA DE 1 ENTRADA DZ E NEWBV","1"
"2008082","CONJ. MOVIMENTADOR TRINO NEW BV CADENA 1/4HP 127V SEM ACIONAMENTO","813253","SEM FIM DE 1 ENTRADA AÇO","1"
"2008082","CONJ. MOVIMENTADOR TRINO NEW BV CADENA 1/4HP 127V SEM ACIONAMENTO","411015","ROLAMENTOS 6004 ZZ","2"
"2008082","CONJ. MOVIMENTADOR TRINO NEW BV CADENA 1/4HP 127V SEM ACIONAMENTO","813395","PASSA FIO DO NEW BV","1"
"2008082","CONJ. MOVIMENTADOR TRINO NEW BV CADENA 1/4HP 127V SEM ACIONAMENTO","401161","PARAFUSO PAN ZBR P/ CHAVE TORX M5 X 20MM T25","6"
"2008082","CONJ. MOVIMENTADOR TRINO NEW BV CADENA 1/4HP 127V SEM ACIONAMENTO","813265","CARCAÇA SUPERIOR NEW BV","1"
"2008082","CONJ. MOVIMENTADOR TRINO NEW BV CADENA 1/4HP 127V SEM ACIONAMENTO","813259","CARCAÇA INFERIOR NEW BV COM FURO ENCODER","1"
"2008082","CONJ. MOVIMENTADOR TRINO NEW BV CADENA 1/4HP 127V SEM ACIONAMENTO","402013","RETENTOR GR 20X30X7 TC GTOP","2"
"2008082","CONJ. MOVIMENTADOR TRINO NEW BV CADENA 1/4HP 127V SEM ACIONAMENTO","813267","SUPORTE ENCODER","1"
"2008082","CONJ. MOVIMENTADOR TRINO NEW BV CADENA 1/4HP 127V SEM ACIONAMENTO","813266","TAMPA ENCODER","1"
"2008082","CONJ. MOVIMENTADOR TRINO NEW BV CADENA 1/4HP 127V SEM ACIONAMENTO","401012","PARAFUSO 3.5 X 13 CH. PH - OXI","2"
"2008082","CONJ. MOVIMENTADOR TRINO NEW BV CADENA 1/4HP 127V SEM ACIONAMENTO","402034","ANEL DE RETENÇÃO ORING INTERNO 14MM X 2,6MM","1"
"2008082","CONJ. MOVIMENTADOR TRINO NEW BV CADENA 1/4HP 127V SEM ACIONAMENTO","813274","TAMPÃO P/ EIXO MOTOR DZ E GABINETE CANCELA","1"
"2008082","CONJ. MOVIMENTADOR TRINO NEW BV CADENA 1/4HP 127V SEM ACIONAMENTO","813260","CALÇO DO ESTATOR NEW BV","2"
"2008082","CONJ. MOVIMENTADOR TRINO NEW BV CADENA 1/4HP 127V SEM ACIONAMENTO","412008","ESTATOR BOBINADO AGL BV/NEW BV/PIVO P28 1/5 cv 04 42 127V 60Hz","1"
"2008082","CONJ. MOVIMENTADOR TRINO NEW BV CADENA 1/4HP 127V SEM ACIONAMENTO","402015","ANEL ELÁSTICO E12","2"
"2008082","CONJ. MOVIMENTADOR TRINO NEW BV CADENA 1/4HP 127V SEM ACIONAMENTO","411017","ROLAMENTOS 6201-08 ZZ C3","2"
"2008082","CONJ. MOVIMENTADOR TRINO NEW BV CADENA 1/4HP 127V SEM ACIONAMENTO","804430","CAPA DO ROLAMENTO DOS MOTORES","2"
"2008082","CONJ. MOVIMENTADOR TRINO NEW BV CADENA 1/4HP 127V SEM ACIONAMENTO","402019","PINO ELÁSTICO 4 X 24MM","1"
"2008082","CONJ. MOVIMENTADOR TRINO NEW BV CADENA 1/4HP 127V SEM ACIONAMENTO","412147","ROTOR AGL NEW BV P28 1/5 cv 04","1"
"2008082","CONJ. MOVIMENTADOR TRINO NEW BV CADENA 1/4HP 127V SEM ACIONAMENTO","401007","PARAFUSO 4.8 X 13 A/A PN. PH - ZI","4"
"2008082","CONJ. MOVIMENTADOR TRINO NEW BV CADENA 1/4HP 127V SEM ACIONAMENTO","101553","SENSOR EFEITO HALL AH3781-P-B 0,30W HALL LATCH SWITCH SIP-3 BULK (AH3781-P-B)","1"
"2008082","CONJ. MOVIMENTADOR TRINO NEW BV CADENA 1/4HP 127V SEM ACIONAMENTO","911080","PLACA REVISADA CENTRAL FLEX","1"
"2008082","CONJ. MOVIMENTADOR TRINO NEW BV CADENA 1/4HP 127V SEM ACIONAMENTO","102806","MICRO CHAVE NS0-040D PARA BV CORRENTE","2"
"2008082","CONJ. MOVIMENTADOR TRINO NEW BV CADENA 1/4HP 127V SEM ACIONAMENTO","103131","CABO CONECTOR TERMINAL WHITE WIRE BLK-PH-3P L500 BOX (BLK-PH-3P L500)","1"
"2008082","CONJ. MOVIMENTADOR TRINO NEW BV CADENA 1/4HP 127V SEM ACIONAMENTO","811851","CAIXA MOTOR BV CADENA 25,6X21,6X32,5","1"
"2008082","CONJ. MOVIMENTADOR TRINO NEW BV CADENA 1/4HP 127V SEM ACIONAMENTO","811505","SACO PLASTICO TRANSPARENTE 14CM X 9CM","1"
"2008082","CONJ. MOVIMENTADOR TRINO NEW BV CADENA 1/4HP 127V SEM ACIONAMENTO","811311","ETIQUETA ADES. BOPP FOSCO C/DFAM 50MM X 25MM X 02 CAR","1"
"2008082","CONJ. MOVIMENTADOR TRINO NEW BV CADENA 1/4HP 127V SEM ACIONAMENTO","811306","ETIQUETA ADES. COUCHE 100MM X 80MM X 01 CAR","1"
"2008082","CONJ. MOVIMENTADOR TRINO NEW BV CADENA 1/4HP 127V SEM ACIONAMENTO","103064","CONECTOR FÊMEA EC601V-5.08-3P GREEN BAG/BULK (EC601V-5.08-3P)","1"
"2008082","CONJ. MOVIMENTADOR TRINO NEW BV CADENA 1/4HP 127V SEM ACIONAMENTO","701256","COROA Z11 PARA BV CADENA (P/ CORRENTE ASA 410) - BRUTO","1"
"2008082","CONJ. MOVIMENTADOR TRINO NEW BV CADENA 1/4HP 127V SEM ACIONAMENTO","813490","SUPORTE DO MICRO SWICH BV CADENA - ZINCADO","2"
"2008082","CONJ. MOVIMENTADOR TRINO NEW BV CADENA 1/4HP 127V SEM ACIONAMENTO","813491","MANCAL DE ENCAIXE DO ACIONAMENTO BV CADENA - CINZA","1"
"2008082","CONJ. MOVIMENTADOR TRINO NEW BV CADENA 1/4HP 127V SEM ACIONAMENTO","401230","PORCA BAIXA M20 ZI","2"
"2008082","CONJ. MOVIMENTADOR TRINO NEW BV CADENA 1/4HP 127V SEM ACIONAMENTO","701243","EIXO PRINCIPAL BV CADENA","1"
"2008082","CONJ. MOVIMENTADOR TRINO NEW BV CADENA 1/4HP 127V SEM ACIONAMENTO","813492","CHAPA ESTABILIZADORA TRASEIRA BV CADENA - ZINCADA","1"
"2008082","CONJ. MOVIMENTADOR TRINO NEW BV CADENA 1/4HP 127V SEM ACIONAMENTO","103549","TERMINAL FASTON FEMEA ISOLADO 0,5-1,5MM","4"
"2008082","CONJ. MOVIMENTADOR TRINO NEW BV CADENA 1/4HP 127V SEM ACIONAMENTO","101309","CAPACITOR FIXO C/DIELETRICO DE POLIPROPILENO BIORIENTADO P/MOTORES CMRW CANECA PLASTICA 30UF 250V 50","1"
"2008082","CONJ. MOVIMENTADOR TRINO NEW BV CADENA 1/4HP 127V SEM ACIONAMENTO","100802","TRANSMISSOR 433MHZ REMOTE - MODELO: AGL-E2  (DIGITAL KEY 6P20 BLACK)","2"
"2008083","CONJ. MOVIMENTADOR TRINO NEW BV CADENA 1/4HP 220V","401228","PARAFUSO ALLEN RI M3 X 16 ZI","4"
"2008083","CONJ. MOVIMENTADOR TRINO NEW BV CADENA 1/4HP 220V","401160","PARAFUSO MQ HXL M5 X 16MM RI T25 ZBR","31"
"2008083","CONJ. MOVIMENTADOR TRINO NEW BV CADENA 1/4HP 220V","813485","BASE DE SUPORTE DO MOTORREDUTOR BV CADENA - CINZA","1"
"2008083","CONJ. MOVIMENTADOR TRINO NEW BV CADENA 1/4HP 220V","813486","CARCAÇA TRASEIRA BV CADENA - CINZA","1"
"2008083","CONJ. MOVIMENTADOR TRINO NEW BV CADENA 1/4HP 220V","813487","TAMPA INFERIOR BV CADENA - CINZA","1"
"2008083","CONJ. MOVIMENTADOR TRINO NEW BV CADENA 1/4HP 220V","813488","TAMPA SUPERIOR BV CADENA - CINZA","1"
"2008083","CONJ. MOVIMENTADOR TRINO NEW BV CADENA 1/4HP 220V","401173","REBITE C/ROSCA SEXT. M5 CAB. PLANA ZB","26"
"2008083","CONJ. MOVIMENTADOR TRINO NEW BV CADENA 1/4HP 220V","813489","CARCAÇA FRONTAL BV CADENA - CINZA","1"
"2008083","CONJ. MOVIMENTADOR TRINO NEW BV CADENA 1/4HP 220V","813152","BASE DA CENTRAL DESLIZANTE INVERTER","1"
"2008083","CONJ. MOVIMENTADOR TRINO NEW BV CADENA 1/4HP 220V","804426","TAMPA DA CENTRAL DESLIZANTE INVERTER","1"
"2008083","CONJ. MOVIMENTADOR TRINO NEW BV CADENA 1/4HP 220V","813039","VENEZIANA DOS MOTORES","2"
"2008083","CONJ. MOVIMENTADOR TRINO NEW BV CADENA 1/4HP 220V","401044","PARAFUSO A/A PAN PHS 2.9 X 9.5","8"
"2008083","CONJ. MOVIMENTADOR TRINO NEW BV CADENA 1/4HP 220V","402012","ANEL ELÁSTICO E-20","3"
"2008083","CONJ. MOVIMENTADOR TRINO NEW BV CADENA 1/4HP 220V","813234","CHAVETA 8MMX33,4MM","1"
"2008083","CONJ. MOVIMENTADOR TRINO NEW BV CADENA 1/4HP 220V","813094","ENGRENAGEM INTERNA DE 1 ENTRADA DZ E NEWBV","1"
"2008083","CONJ. MOVIMENTADOR TRINO NEW BV CADENA 1/4HP 220V","813253","SEM FIM DE 1 ENTRADA AÇO","1"
"2008083","CONJ. MOVIMENTADOR TRINO NEW BV CADENA 1/4HP 220V","411015","ROLAMENTOS 6004 ZZ","2"
"2008083","CONJ. MOVIMENTADOR TRINO NEW BV CADENA 1/4HP 220V","813395","PASSA FIO DO NEW BV","1"
"2008083","CONJ. MOVIMENTADOR TRINO NEW BV CADENA 1/4HP 220V","401161","PARAFUSO PAN ZBR P/ CHAVE TORX M5 X 20MM T25","6"
"2008083","CONJ. MOVIMENTADOR TRINO NEW BV CADENA 1/4HP 220V","813265","CARCAÇA SUPERIOR NEW BV","1"
"2008083","CONJ. MOVIMENTADOR TRINO NEW BV CADENA 1/4HP 220V","813259","CARCAÇA INFERIOR NEW BV COM FURO ENCODER","1"
"2008083","CONJ. MOVIMENTADOR TRINO NEW BV CADENA 1/4HP 220V","402013","RETENTOR GR 20X30X7 TC GTOP","2"
"2008083","CONJ. MOVIMENTADOR TRINO NEW BV CADENA 1/4HP 220V","813267","SUPORTE ENCODER","1"
"2008083","CONJ. MOVIMENTADOR TRINO NEW BV CADENA 1/4HP 220V","813266","TAMPA ENCODER","1"
"2008083","CONJ. MOVIMENTADOR TRINO NEW BV CADENA 1/4HP 220V","401012","PARAFUSO 3.5 X 13 CH. PH - OXI","2"
"2008083","CONJ. MOVIMENTADOR TRINO NEW BV CADENA 1/4HP 220V","402034","ANEL DE RETENÇÃO ORING INTERNO 14MM X 2,6MM","1"
"2008083","CONJ. MOVIMENTADOR TRINO NEW BV CADENA 1/4HP 220V","813274","TAMPÃO P/ EIXO MOTOR DZ E GABINETE CANCELA","1"
"2008083","CONJ. MOVIMENTADOR TRINO NEW BV CADENA 1/4HP 220V","813260","CALÇO DO ESTATOR NEW BV","2"
"2008083","CONJ. MOVIMENTADOR TRINO NEW BV CADENA 1/4HP 220V","412155","ESTATOR BOBINADO AGL BV/NEW BV/PIVO P28 1/5 cv 04 42 220V 60Hz","1"
"2008083","CONJ. MOVIMENTADOR TRINO NEW BV CADENA 1/4HP 220V","402015","ANEL ELÁSTICO E12","2"
"2008083","CONJ. MOVIMENTADOR TRINO NEW BV CADENA 1/4HP 220V","411017","ROLAMENTOS 6201-08 ZZ C3","2"
"2008083","CONJ. MOVIMENTADOR TRINO NEW BV CADENA 1/4HP 220V","804430","CAPA DO ROLAMENTO DOS MOTORES","2"
"2008083","CONJ. MOVIMENTADOR TRINO NEW BV CADENA 1/4HP 220V","402019","PINO ELÁSTICO 4 X 24MM","1"
"2008083","CONJ. MOVIMENTADOR TRINO NEW BV CADENA 1/4HP 220V","412147","ROTOR AGL NEW BV P28 1/5 cv 04","1"
"2008083","CONJ. MOVIMENTADOR TRINO NEW BV CADENA 1/4HP 220V","401007","PARAFUSO 4.8 X 13 A/A PN. PH - ZI","4"
"2008083","CONJ. MOVIMENTADOR TRINO NEW BV CADENA 1/4HP 220V","101553","SENSOR EFEITO HALL AH3781-P-B 0,30W HALL LATCH SWITCH SIP-3 BULK (AH3781-P-B)","1"
"2008083","CONJ. MOVIMENTADOR TRINO NEW BV CADENA 1/4HP 220V","911080","PLACA REVISADA CENTRAL FLEX","1"
"2008083","CONJ. MOVIMENTADOR TRINO NEW BV CADENA 1/4HP 220V","102806","MICRO CHAVE NS0-040D PARA BV CORRENTE","2"
"2008083","CONJ. MOVIMENTADOR TRINO NEW BV CADENA 1/4HP 220V","103131","CABO CONECTOR TERMINAL WHITE WIRE BLK-PH-3P L500 BOX (BLK-PH-3P L500)","1"
"2008083","CONJ. MOVIMENTADOR TRINO NEW BV CADENA 1/4HP 220V","811851","CAIXA MOTOR BV CADENA 25,6X21,6X32,5","1"
"2008083","CONJ. MOVIMENTADOR TRINO NEW BV CADENA 1/4HP 220V","811505","SACO PLASTICO TRANSPARENTE 14CM X 9CM","1"
"2008083","CONJ. MOVIMENTADOR TRINO NEW BV CADENA 1/4HP 220V","811311","ETIQUETA ADES. BOPP FOSCO C/DFAM 50MM X 25MM X 02 CAR","1"
"2008083","CONJ. MOVIMENTADOR TRINO NEW BV CADENA 1/4HP 220V","811306","ETIQUETA ADES. COUCHE 100MM X 80MM X 01 CAR","1"
"2008083","CONJ. MOVIMENTADOR TRINO NEW BV CADENA 1/4HP 220V","103064","CONECTOR FÊMEA EC601V-5.08-3P GREEN BAG/BULK (EC601V-5.08-3P)","1"
"2008083","CONJ. MOVIMENTADOR TRINO NEW BV CADENA 1/4HP 220V","701256","COROA Z11 PARA BV CADENA (P/ CORRENTE ASA 410) - BRUTO","1"
"2008083","CONJ. MOVIMENTADOR TRINO NEW BV CADENA 1/4HP 220V","813490","SUPORTE DO MICRO SWICH BV CADENA - ZINCADO","2"
"2008083","CONJ. MOVIMENTADOR TRINO NEW BV CADENA 1/4HP 220V","813491","MANCAL DE ENCAIXE DO ACIONAMENTO BV CADENA - CINZA","1"
"2008083","CONJ. MOVIMENTADOR TRINO NEW BV CADENA 1/4HP 220V","401230","PORCA BAIXA M20 ZI","2"
"2008083","CONJ. MOVIMENTADOR TRINO NEW BV CADENA 1/4HP 220V","701243","EIXO PRINCIPAL BV CADENA","1"
"2008083","CONJ. MOVIMENTADOR TRINO NEW BV CADENA 1/4HP 220V","813492","CHAPA ESTABILIZADORA TRASEIRA BV CADENA - ZINCADA","1"
"2008083","CONJ. MOVIMENTADOR TRINO NEW BV CADENA 1/4HP 220V","103549","TERMINAL FASTON FEMEA ISOLADO 0,5-1,5MM","4"
"2008083","CONJ. MOVIMENTADOR TRINO NEW BV CADENA 1/4HP 220V","100802","TRANSMISSOR 433MHZ REMOTE - MODELO: AGL-E2  (DIGITAL KEY 6P20 BLACK)","2"
"2008084","CONJ. MOVIMENTADOR TRINO NEW BV CADENA 1/3HP 127V SEM ACIONAMENTO","401228","PARAFUSO ALLEN RI M3 X 16 ZI","4"
"2008084","CONJ. MOVIMENTADOR TRINO NEW BV CADENA 1/3HP 127V SEM ACIONAMENTO","401160","PARAFUSO MQ HXL M5 X 16MM RI T25 ZBR","31"
"2008084","CONJ. MOVIMENTADOR TRINO NEW BV CADENA 1/3HP 127V SEM ACIONAMENTO","813485","BASE DE SUPORTE DO MOTORREDUTOR BV CADENA - CINZA","1"
"2008084","CONJ. MOVIMENTADOR TRINO NEW BV CADENA 1/3HP 127V SEM ACIONAMENTO","813486","CARCAÇA TRASEIRA BV CADENA - CINZA","1"
"2008084","CONJ. MOVIMENTADOR TRINO NEW BV CADENA 1/3HP 127V SEM ACIONAMENTO","813487","TAMPA INFERIOR BV CADENA - CINZA","1"
"2008084","CONJ. MOVIMENTADOR TRINO NEW BV CADENA 1/3HP 127V SEM ACIONAMENTO","813488","TAMPA SUPERIOR BV CADENA - CINZA","1"
"2008084","CONJ. MOVIMENTADOR TRINO NEW BV CADENA 1/3HP 127V SEM ACIONAMENTO","401173","REBITE C/ROSCA SEXT. M5 CAB. PLANA ZB","26"
